"","schoolcode","num_apply"
"363","60202",1198
"364","60203",3598
"365","60204",1155
"366","60205",631
"367","60206",2478
"368","60301",7212
"369","60302",3239
"370","60303",7810
"371","60304",2424
"372","60401",1202
"373","60402",3753
"374","60403",840
"375","60404",1752
"376","60501",5203
"377","60502",1924
"378","60503",407
"379","60504",601
"380","60505",1809
"381","60601",5005
"382","60602",646
"383","60603",1718
"384","60604",681
"385","60605",505
"386","60701",6873
"387","60702",5213
"388","60703",1586
"389","60704",1368
"390","60705",368
"391","60706",7
"392","60801",7637
"393","60802",1987
"394","60901",4466
"395","60902",1092
"396","61001",11628
"397","61002",1070
"398","61003",2207
"399","61004",645
"400","61005",1655
"401","61101",1238
"402","61102",527
"403","61201",2591
"404","61202",3831
"405","61203",4539
"406","61204",699
"407","61301",4628
"408","61302",3241
"409","61303",2293
"410","70101",2397
"411","70102",4608
"412","70103",584
"413","70104",7271
"414","70105",2944
"415","70106",1740
"416","70107",1397
"417","70108",406
"418","70109",888
"419","70110",2811
"420","70111",574
"421","70112",582
"422","70113",1123
"423","70114",736
"424","70116",82
"425","70117",16
"426","70119",1244
"427","70201",1693
"428","70202",682
"429","70203",1054
"430","70204",437
"431","70206",1
"432","70301",2625
"433","70302",645
"434","70303",818
"435","70401",6436
"436","70402",1190
"437","70403",669
"438","70501",5272
"439","70502",5159
"440","70503",4463
"441","70504",2178
"442","70505",4130
"443","70506",1025
"444","70507",1759
"445","70508",1007
"446","70509",484
"447","70601",1509
"448","70602",5186
"449","70603",5312
"450","70604",3411
"451","70605",4489
"452","70606",1591
"453","70607",1497
"454","70608",838
"455","70701",1960
"456","70702",2659
"457","70703",3094
"458","70704",5254
"459","70705",1511
"460","70801",3278
"461","70802",1553
"462","70803",712
"463","70804",1221
"464","70805",812
"465","70806",575
"466","70901",6164
"467","70902",1567
"468","70907",121
"469","71001",2244
"470","71002",684
"471","71003",305
"472","71004",1602
"473","71005",1069
"474","71006",3648
"475","71007",396
"476","71008",799
"477","71009",798
"478","71010",947
"479","71101",3041
"480","71102",2124
"481","71103",2086
"482","71104",813
"483","71105",114
"484","71201",3266
"485","71202",688
"486","80101",8866
"487","80102",7099
"488","80103",9358
"489","80104",10077
"490","80105",7168
"491","80106",6662
"492","80107",1106
"493","80108",6263
"494","80109",3774
"495","80110",1476
"496","80201",3671
"497","80202",1505
"498","80301",6685
"499","80302",2617
"500","80303",3067
"501","80401",4101
"502","80402",2022
"503","80501",5443
"504","80502",865
"505","80503",1276
"506","80601",4165
"507","80602",1836
"508","80701",3259
"509","80702",503
"510","80801",4435
"511","80802",1419
"512","80901",325
"513","80902",1220
"514","81001",1163
"515","81101",1123
"516","81102",391
"517","81201",1273
"518","81202",1660
"519","81301",4352
"520","81302",2551
"521","90101",6820
"522","90102",2713
"523","90103",2349
"524","90201",5294
"525","90202",2848
