"","sssdistrict","jssdistrict","ssslong","ssslat","jsslong","jsslat","distance"
"1","Cape Coast Municipal","South Dayi (Kpeve)",-1.3065938949585,5.15365600585938,0.20763073861599,6.37576246261597,134.096471366069
"1.1","Cape Coast Municipal","Sawla-Tuna-Kalba",-1.3065938949585,5.15365600585938,-2.36116719245911,9.40702152252197,302.88757075632
"1.2","Cape Coast Municipal","Adaklu Anigbe (Kpetoe)",-1.3065938949585,5.15365600585938,0.488698303699493,6.38395690917969,149.91141530568
"1.3","Cape Coast Municipal","talensi-Nabdam (Tongo)",-1.3065938949585,5.15365600585938,-0.749606251716614,10.6783456802368,384.024735252468
"1.4","Cape Coast Municipal","Tain",-1.3065938949585,5.15365600585938,-2.28683090209961,7.94890546798706,204.682638105097
"1.5","Cape Coast Municipal","Amansie Central (Jacobu)",-1.3065938949585,5.15365600585938,-1.73985767364502,6.24280118942261,81.0150110339921
"1.6","Cape Coast Municipal","Garu Tempane",-1.3065938949585,5.15365600585938,-0.171862438321114,10.8220167160034,399.59954033638
"1.7","Cape Coast Municipal","Pru",-1.3065938949585,5.15365600585938,-0.992189466953278,8.00764656066895,198.587429841498
"1.8","Cape Coast Municipal","Bunkpurugu Yunyoo (Bunkpurugu)",-1.3065938949585,5.15365600585938,-0.0841669961810112,10.5221290588379,380.540341201128
"1.9","Cape Coast Municipal","Adansi North (Fomena)",-1.3065938949585,5.15365600585938,-1.56873786449432,6.07334852218628,66.1229564397312
"1.10","Cape Coast Municipal","Atiwa (Kwabeng)",-1.3065938949585,5.15365600585938,-0.675171911716461,6.32678174972534,92.0293566514494
"1.11","Cape Coast Municipal","Atwima Mponua (Nyinahin)",-1.3065938949585,5.15365600585938,-2.17718052864075,6.54950714111328,113.58670745757
"1.12","Cape Coast Municipal","Adansi East (New Edubiase)",-1.3065938949585,5.15365600585938,-1.39652860164642,6.10548162460327,66.1296177836888
"1.13","Cape Coast Municipal","Adansi West (Obuasi)",-1.3065938949585,5.15365600585938,-1.65927422046661,5.98641157150269,62.5045682930376
"1.14","Cape Coast Municipal","Afigya Sekyere (Agona)",-1.3065938949585,5.15365600585938,-1.54861426353455,7.00199604034424,128.92860006762
"1.15","Cape Coast Municipal","Ahafo Ano North (Tepa)",-1.3065938949585,5.15365600585938,-2.20757961273193,6.90082979202271,135.772393402063
"1.16","Cape Coast Municipal","Ahafo Ano South (Mankranso)",-1.3065938949585,5.15365600585938,-1.9891722202301,6.92877149581909,131.429872391149
"1.17","Cape Coast Municipal","Amansie East (Bekwai)",-1.3065938949585,5.15365600585938,-1.37072885036469,6.38336086273193,85.1753260985598
"1.18","Cape Coast Municipal","Amansie West (Manso-Nkwanta)",-1.3065938949585,5.15365600585938,-1.8933699131012,6.43694496154785,97.5008682702472
"1.19","Cape Coast Municipal","Asante Akim North (Konongo)",-1.3065938949585,5.15365600585938,-1.01796305179596,6.83400392532349,117.911328113995
"1.20","Cape Coast Municipal","Asante Akim South (Juaso)",-1.3065938949585,5.15365600585938,-1.08829259872437,6.53297996520996,96.5828709060359
"1.21","Cape Coast Municipal","Atwima / Nwabiagya (Nkawie)",-1.3065938949585,5.15365600585938,-1.80875706672668,6.68133735656738,111.161903674522
"1.22","Cape Coast Municipal","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",-1.3065938949585,5.15365600585938,-1.56275165081024,6.55932283401489,98.8133562678123
"1.23","Cape Coast Municipal","Ejisu/Juaben (Ejisu)",-1.3065938949585,5.15365600585938,-1.38873517513275,6.70792675018311,107.660005905332
"1.24","Cape Coast Municipal","Ejura/Sekyedumase (Ejura)",-1.3065938949585,5.15365600585938,-1.36796534061432,7.46287393569946,159.788673068493
"1.25","Cape Coast Municipal","Kumasi Metro",-1.3065938949585,5.15365600585938,-1.59718716144562,6.68205976486206,107.591244185928
"1.26","Cape Coast Municipal","Kwabre (Mamponteng)",-1.3065938949585,5.15365600585938,-1.54142010211945,6.80677843093872,115.481666788213
"1.27","Cape Coast Municipal","Offinso",-1.3065938949585,5.15365600585938,-1.89086854457855,7.34876441955566,157.041669862677
"1.28","Cape Coast Municipal","Sekyere East (Effiduase)",-1.3065938949585,5.15365600585938,-0.844235956668854,7.21082878112793,145.793295582969
"1.29","Cape Coast Municipal","Sekyere West (Mampong)",-1.3065938949585,5.15365600585938,-1.18007683753967,7.19956493377686,141.785703080484
"1.30","Cape Coast Municipal","",-1.3065938949585,5.15365600585938,-2.64866065979004,7.87784051895142,209.677817401675
"1.31","Cape Coast Municipal","Kintampo South",-1.3065938949585,5.15365600585938,-1.76331567764282,7.90123987197876,192.614780144564
"1.32","Cape Coast Municipal","Asunafo South",-1.3065938949585,5.15365600585938,-2.57220482826233,6.63116884231567,134.191159781078
"1.33","Cape Coast Municipal","Kintampo North",-1.3065938949585,5.15365600585938,-1.54442632198334,8.37111854553223,223.152675404967
"1.34","Cape Coast Municipal","Asunafo (Goaso)",-1.3065938949585,5.15365600585938,-2.68374562263489,6.80908823013306,148.524175442753
"1.35","Cape Coast Municipal","Asutifi (Kenyasi)",-1.3065938949585,5.15365600585938,-2.51506805419922,7.02809381484985,153.930102560281
"1.36","Cape Coast Municipal","Atebubu",-1.3065938949585,5.15365600585938,-1.0652015209198,7.67559051513672,175.230365392501
"1.37","Cape Coast Municipal","Berekum",-1.3065938949585,5.15365600585938,-2.63174390792847,7.50356483459473,186.227579489578
"1.38","Cape Coast Municipal","Dormaa (Dormaa Ahenkro)",-1.3065938949585,5.15365600585938,-2.75384044647217,7.22284889221191,174.211531765884
